import time: self [us] | cumulative | imported package
import time:      1344 |       2774 |   flask.blueprints
import time:      1596 |     339166 | flask
import time:      1462 |       1462 |         numpy._utils._convertions
import time:       626 |       2088 |       numpy._utils
import time:      1413 |       3500 |     numpy._globals
import time:      1006 |       1006 |     numpy.exceptions
import time:       627 |        627 |     numpy.version
import time:        54 |         54 |       numpy._distributor_init_local
import time:       472 |        526 |     numpy._distributor_init
import time:       401 |        401 |               numpy._utils._inspect
import time:      1226 |       1226 |                 numpy.core._exceptions
import time:       881 |        881 |                 numpy.dtypes
import time:     10307 |      12414 |               numpy.core._multiarray_umath
import time:       711 |      13525 |             numpy.core.overrides
import time:      1846 |      15371 |           numpy.core.multiarray
import time:       719 |        719 |           numpy.core.umath
import time:       515 |        515 |             numpy.core._string_helpers
import time:       180 |        180 |                   pickle5
import time:       663 |        842 |                 numpy.compat.py3k
import time:       770 |       1612 |               numpy.compat
import time:       895 |        895 |               numpy.core._dtype
import time:      2498 |       5004 |             numpy.core._type_aliases
import time:      1487 |       7005 |           numpy.core.numerictypes
import time:       806 |        806 |                   numpy.core._ufunc_config
import time:       642 |       1448 |                 numpy.core._methods
import time:      1958 |       3406 |               numpy.core.fromnumeric
import time:      1270 |       4676 |             numpy.core.shape_base
import time:      3408 |       3408 |             numpy.core.arrayprint
import time:       774 |        774 |             numpy.core._asarray
import time:      1906 |      10763 |           numpy.core.numeric
import time:      2036 |       2036 |           numpy.core.defchararray
import time:      1330 |       1330 |           numpy.core.records
import time:      1104 |       1104 |           numpy.core.memmap
import time:      1358 |       1358 |           numpy.core.function_base
import time:       636 |        636 |           numpy.core._machar
import time:      1014 |       1014 |           numpy.core.getlimits
import time:       868 |        868 |           numpy.core.einsumfunc
import time:      2741 |       2741 |             numpy.core._multiarray_tests
import time:      2388 |       5129 |           numpy.core._add_newdocs
import time:      1049 |       1049 |           numpy.core._add_newdocs_scalars
import time:       776 |        776 |           numpy.core._dtype_ctypes
import time:      2899 |       2899 |               _ctypes
import time:      1417 |       1417 |               ctypes._endian
import time:      2075 |       6390 |             ctypes
import time:      1300 |       7690 |           numpy.core._internal
import time:       954 |        954 |           numpy._pytesttester
import time:      2265 |      60058 |         numpy.core
import time:        57 |      60114 |       numpy.core._multiarray_umath
import time:       903 |      61017 |     numpy.__config__
import time:      1854 |       1854 |       numpy.lib.mixins
import time:       924 |        924 |           numpy.lib.ufunclike
import time:      1039 |       1962 |         numpy.lib.type_check
import time:      1072 |       3034 |       numpy.lib.scimath
import time:      1200 |       1200 |                   numpy.lib.stride_tricks
import time:      1246 |       2446 |                 numpy.lib.twodim_base
import time:      3176 |       3176 |                 numpy.linalg._umath_linalg
import time:      1364 |       1364 |                   numpy._typing._nested_sequence
import time:       501 |        501 |                   numpy._typing._nbit
import time:      1095 |       1095 |                   numpy._typing._char_codes
import time:       630 |        630 |                   numpy._typing._scalars
import time:       450 |        450 |                   numpy._typing._shape
import time:      1957 |       1957 |                   numpy._typing._dtype_like
import time:      4352 |       4352 |                   numpy._typing._array_like
import time:      1219 |      11564 |                 numpy._typing
import time:      3527 |      20712 |               numpy.linalg.linalg
import time:       728 |      21439 |             numpy.linalg
import time:      1786 |      23225 |           numpy.matrixlib.defmatrix
import time:      1009 |      24234 |         numpy.matrixlib
import time:       799 |        799 |           numpy.lib.histograms
import time:      2145 |       2944 |         numpy.lib.function_base
import time:      1183 |      28359 |       numpy.lib.index_tricks
import time:      1181 |       1181 |       numpy.lib.nanfunctions
import time:      1101 |       1101 |       numpy.lib.shape_base
import time:      1098 |       1098 |       numpy.lib.polynomial
import time:      1145 |       1145 |       numpy.lib.utils
import time:       789 |        789 |       numpy.lib.arraysetops
import time:      1019 |       1019 |         numpy.lib.format
import time:       879 |        879 |         numpy.lib._datasource
import time:      1049 |       1049 |         numpy.lib._iotools
import time:      1274 |       4219 |       numpy.lib.npyio
import time:      1069 |       1069 |       numpy.lib.arrayterator
import time:      1277 |       1277 |       numpy.lib.arraypad
import time:       750 |        750 |       numpy.lib._version
import time:      1746 |      47617 |     numpy.lib
import time:      1229 |       1229 |         numpy.fft._pocketfft_internal
import time:      1642 |       2871 |       numpy.fft._pocketfft
import time:       776 |        776 |       numpy.fft.helper
import time:       879 |       4524 |     numpy.fft
import time:       930 |        930 |         numpy.polynomial.polyutils
import time:       902 |        902 |         numpy.polynomial._polybase
import time:      1516 |       3347 |       numpy.polynomial.polynomial
import time:      1819 |       1819 |       numpy.polynomial.chebyshev
import time:       965 |        965 |       numpy.polynomial.legendre
import time:       968 |        968 |       numpy.polynomial.hermite
import time:      1284 |       1284 |       numpy.polynomial.hermite_e
import time:      1404 |       1404 |       numpy.polynomial.laguerre
import time:       979 |      10763 |     numpy.polynomial
import time:       116 |        116 |               backports_abc
import time:      2361 |       2476 |             numpy.random._common
import time:      2470 |       4946 |           numpy.random.bit_generator
import time:      1463 |       1463 |           numpy.random._bounded_integers
import time:      1544 |       1544 |           numpy.random._mt19937
import time:      3535 |      11486 |         numpy.random.mtrand
import time:      2041 |       2041 |         numpy.random._philox
import time:      2477 |       2477 |         numpy.random._pcg64
import time:      1929 |       1929 |         numpy.random._sfc64
import time:      3197 |       3197 |         numpy.random._generator
import time:      1181 |      22309 |       numpy.random._pickle
import time:      1085 |      23394 |     numpy.random
import time:      1719 |       1719 |     numpy.ctypeslib
import time:      6259 |       6259 |       numpy.ma.core
import time:      1928 |       1928 |       numpy.ma.extras
import time:      1930 |      10116 |     numpy.ma
import time:      4418 |     169220 |   numpy
import time:      1747 |       1747 |     pytz.exceptions
import time:       827 |        827 |     pytz.lazy
import time:       900 |        900 |     pytz.tzinfo
import time:       663 |        663 |     pytz.tzfile
import time:      2111 |       6245 |   pytz
import time:      1141 |       1141 |     dateutil._version
import time:      1093 |       2234 |   dateutil
import time:      1616 |       1616 |       sysconfig
import time:      1289 |       1289 |       _sysconfigdata__darwin_darwin
import time:       855 |        855 |       _osx_support
import time:      2426 |       6184 |     pandas.compat._constants
import time:      1122 |       1122 |     pandas.compat.compressors
import time:       821 |        821 |         pandas.util
import time:      3587 |       4408 |       pandas.util.version
import time:       733 |       5141 |     pandas.compat.numpy
import time:       112 |        112 |       pyarrow
import time:       504 |        616 |     pandas.compat.pyarrow
import time:      3463 |      16525 |   pandas.compat
import time:      4872 |       4872 |       pandas._typing
import time:       736 |        736 |       pandas.util._exceptions
import time:      2856 |       8463 |     pandas._config.config
import time:       864 |        864 |     pandas._config.dates
import time:       689 |        689 |     pandas._config.display
import time:       855 |      10870 |   pandas._config
import time:       378 |        378 |     pandas.core
import time:      2376 |       2754 |   pandas.core.config_init
import time:      2571 |       2571 |       pandas._libs.pandas_parser
import time:       654 |        654 |           numpy._core
import time:       880 |       1533 |         numpy._core._multiarray_umath
import time:      1989 |       3522 |       pandas._libs.pandas_datetime
import time:      3350 |       3350 |                   pandas._libs.tslibs.ccalendar
import time:      2256 |       2256 |                   pandas._libs.tslibs.np_datetime
import time:      4985 |      10589 |                 pandas._libs.tslibs.dtypes
import time:      2343 |       2343 |                   pandas._libs.tslibs.base
import time:      3351 |       3351 |                       pandas._libs.tslibs.nattype
import time:       940 |        940 |                           pandas.compat._optional
import time:      1342 |       1342 |                             zoneinfo._tzpath
import time:       717 |        717 |                             zoneinfo._common
import time:      3015 |       3015 |                             _zoneinfo
import time:       770 |       5843 |                           zoneinfo
import time:      2069 |       2069 |                               six
import time:        57 |         57 |                               six.moves
import time:       981 |        981 |                               dateutil.tz._common
import time:       878 |        878 |                               dateutil.tz._factories
import time:        45 |         45 |                                 six.moves.winreg
import time:       751 |        796 |                               dateutil.tz.win
import time:      2049 |       6829 |                             dateutil.tz.tz
import time:      1313 |       8141 |                           dateutil.tz
import time:      4006 |      18929 |                         pandas._libs.tslibs.timezones
import time:      2081 |       2081 |                           _strptime
import time:      1387 |       1387 |                               signal
import time:      3049 |       3049 |                               fcntl
import time:       215 |        215 |                               msvcrt
import time:      2130 |       2130 |                               _posixsubprocess
import time:      1492 |       8271 |                             subprocess
import time:       850 |       9120 |                           pandas._config.localization
import time:      2343 |      13544 |                         pandas._libs.tslibs.fields
import time:      3583 |      36055 |                       pandas._libs.tslibs.timedeltas
import time:      3199 |       3199 |                       pandas._libs.tslibs.tzconversion
import time:      3603 |      46206 |                     pandas._libs.tslibs.timestamps
import time:      2227 |       2227 |                     pandas._libs.properties
import time:      4036 |      52468 |                   pandas._libs.tslibs.offsets
import time:       664 |        664 |                         dateutil._common
